,z,x,y,s2:product_type,s2:mgrs_tile,sat:relative_orbit,s2:degraded_msi_data_percentage,instruments,sat:orbit_state,s2:processing_baseline,s2:datatake_type,proj:epsg,s2:saturated_defective_pixel_percentage,constellation,proj:bbox,gsd,epsg,ndvi,platform,s2:product_uri,s2:medium_proba_clouds_percentage,s2:reflectance_conversion_factor,s2:unclassified_percentage,s2:datastrip_id,s2:nodata_pixel_percentage,s2:water_percentage,s2:high_proba_clouds_percentage,s2:thin_cirrus_percentage,s2:vegetation_percentage,s2:cloud_shadow_percentage,eo:cloud_cover,s2:mean_solar_azimuth,s2:not_vegetated_percentage,s2:dark_features_percentage,s2:snow_ice_percentage,s2:mean_solar_zenith,s2:granule_id,s2:datatake_id,s2:generation_time
0,0,4.7423052642725025,51.71124463360287,S2MSI2A,31UFT,8.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.26371215445370777,,,,,,,,,,,,,,,,,,,,,
1,1,4.7417064127427295,51.69272160780354,S2MSI2A,31UFT,8.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.8149977548271217,,,,,,,,,,,,,,,,,,,,,
2,2,4.736616174739659,51.720872939092615,S2MSI2A,31UFT,8.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.09419953596287703,,,,,,,,,,,,,,,,,,,,,
3,3,4.743053828684719,51.692905004098584,S2MSI2A,31UFT,8.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.7516339869281046,,,,,,,,,,,,,,,,,,,,,
4,4,4.737065313386989,51.70629293363671,S2MSI2A,31UFT,8.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.7989886219974716,,,,,,,,,,,,,,,,,,,,,
5,5,4.742604690037389,51.71454576691364,S2MSI2A,31UFT,8.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.10295857988165681,,,,,,,,,,,,,,,,,,,,,
6,6,4.744550957509151,51.69061255041055,S2MSI2A,31UFT,8.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.783400421698294,,,,,,,,,,,,,,,,,,,,,
7,7,4.725687134321301,51.71876388169962,S2MSI2A,31UFT,8.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.7040450588837686,,,,,,,,,,,,,,,,,,,,,
8,8,4.739011580858751,51.704000479948675,S2MSI2A,31UFT,8.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.6425956738768719,,,,,,,,,,,,,,,,,,,,,
9,9,4.74080813544807,51.721423127977744,S2MSI2A,31UFT,8.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.04136690647482014,,,,,,,,,,,,,,,,,,,,,
10,10,4.7292802434999395,51.71922237243723,S2MSI2A,31UFT,8.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.49108589951377635,,,,,,,,,,,,,,,,,,,,,
11,11,4.7411075612129565,51.70831029288218,S2MSI2A,31UFT,8.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.6802903582136658,,,,,,,,,,,,,,,,,,,,,
12,12,4.7412572740954,51.721423127977744,S2MSI2A,31UFT,8.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.0738488271068636,,,,,,,,,,,,,,,,,,,,,
13,13,4.742005838507616,51.719497466879794,S2MSI2A,31UFT,8.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.059336238685886694,,,,,,,,,,,,,,,,,,,,,
14,14,4.730627659441929,51.71940576873227,S2MSI2A,31UFT,8.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.41439427805096113,,,,,,,,,,,,,,,,,,,,,
15,15,4.73392134285568,51.718305390962016,S2MSI2A,31UFT,8.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.3272782319103845,,,,,,,,,,,,,,,,,,,,,
16,16,4.737364739151875,51.71656312615911,S2MSI2A,31UFT,8.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.21297381789761627,,,,,,,,,,,,,,,,,,,,,
17,17,4.742604690037389,51.701341233670554,S2MSI2A,31UFT,8.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.584272356748981,,,,,,,,,,,,,,,,,,,,,
18,18,4.7423052642725025,51.71427067247107,S2MSI2A,31UFT,8.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.11677282377919321,,,,,,,,,,,,,,,,,,,,,
19,19,4.741406986977843,51.71582954097894,S2MSI2A,31UFT,8.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.17606364579730197,,,,,,,,,,,,,,,,,,,,,
0,0,4.658166624339394,51.71262010581569,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.7666743066697227,,,,,,,,,,,,,,,,,,,,,
1,1,4.658166624339394,51.71262010581569,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.7666743066697227,,,,,,,,,,,,,,,,,,,,,
0,0,4.724040292614426,51.63311781191462,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.3407534246575342,,,,,,,,,,,,,,,,,,,,,
1,1,4.724040292614426,51.63311781191462,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.3407534246575342,,,,,,,,,,,,,,,,,,,,,
0,0,4.623433235612559,51.706568028079275,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.2585581957309706,,,,,,,,,,,,,,,,,,,,,
1,1,4.623433235612559,51.706568028079275,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.2585581957309706,,,,,,,,,,,,,,,,,,,,,
0,0,4.707122736898338,51.71711331504424,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.4649122807017544,,,,,,,,,,,,,,,,,,,,,
1,1,4.690504606947137,51.71748010763432,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.42073759413014095,,,,,,,,,,,,,,,,,,,,,
2,2,4.690504606947137,51.71748010763432,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.42073759413014095,,,,,,,,,,,,,,,,,,,,,
3,3,4.707122736898338,51.71711331504424,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.4649122807017544,,,,,,,,,,,,,,,,,,,,,
0,0,4.789913960889457,51.7122533132256,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.4511173184357542,,,,,,,,,,,,,,,,,,,,,
1,1,4.794405347362755,51.71142802989791,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.31347041544271925,,,,,,,,,,,,,,,,,,,,,
2,2,4.787368841887922,51.712436709520645,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.36783988957902003,,,,,,,,,,,,,,,,,,,,,
3,3,4.794405347362755,51.71142802989791,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.31347041544271925,,,,,,,,,,,,,,,,,,,,,
4,4,4.789913960889457,51.7122533132256,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.4511173184357542,,,,,,,,,,,,,,,,,,,,,
5,5,4.787368841887922,51.712436709520645,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.36783988957902003,,,,,,,,,,,,,,,,,,,,,
0,0,4.847403707747667,51.67392348756165,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.35159407274360127,,,,,,,,,,,,,,,,,,,,,
1,1,4.847403707747667,51.67392348756165,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.35159407274360127,,,,,,,,,,,,,,,,,,,,,
0,0,4.827192468617827,51.70803519843962,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.6402055968018275,,,,,,,,,,,,,,,,,,,,,
1,1,4.852943084398067,51.71142802989791,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.4046851493660004,,,,,,,,,,,,,,,,,,,,,
2,2,4.827192468617827,51.70803519843962,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.6402055968018275,,,,,,,,,,,,,,,,,,,,,
3,3,4.852943084398067,51.71142802989791,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.4046851493660004,,,,,,,,,,,,,,,,,,,,,
0,0,4.430153904378319,51.628716300833595,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
1,1,4.393623961062165,51.64595555256762,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
2,2,4.418626012430188,51.635226869307616,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
3,3,4.432549310497411,51.62688233788317,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
4,4,4.406050130304955,51.63806951188078,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
5,5,4.392575970885062,51.64641404330523,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
6,6,4.397217070240803,51.644213287764714,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
7,7,4.407397546246944,51.63724422855309,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
8,8,4.399462763477452,51.64311290999446,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
9,9,4.435693281028719,51.621472147179404,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
10,10,4.400660466536998,51.64192083407668,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
11,11,4.4312018945554215,51.628716300833595,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
12,12,4.451712559450147,51.61982158052402,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.366344541170833,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
13,13,4.4241653890805885,51.63155894340676,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
14,14,4.421320844314167,51.63348460450471,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
15,15,4.413984913074447,51.633943095242316,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
16,16,4.397217070240803,51.644213287764714,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
17,17,4.405301565892739,51.63880309706095,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
18,18,4.391527980707959,51.64723932663292,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
19,19,4.4135357744271175,51.63403479338984,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
20,20,4.407696972011831,51.637060832258044,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
21,21,4.418626012430188,51.635226869307616,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
22,22,4.393623961062165,51.64595555256762,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
23,23,4.432549310497411,51.62688233788317,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
24,24,4.406050130304955,51.63806951188078,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
25,25,4.392575970885062,51.64641404330523,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
26,26,4.4312018945554215,51.628716300833595,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
27,27,4.435693281028719,51.621472147179404,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
28,28,4.4241653890805885,51.63155894340676,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
29,29,4.451712559450147,51.61982158052402,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.366344541170833,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
30,30,4.400660466536998,51.64192083407668,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
31,31,4.421320844314167,51.63348460450471,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
32,32,4.399462763477452,51.64311290999446,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
33,33,4.407397546246944,51.63724422855309,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
34,34,4.397217070240803,51.644213287764714,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
35,35,4.397217070240803,51.644213287764714,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
36,36,4.413984913074447,51.633943095242316,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
37,37,4.430153904378319,51.628716300833595,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
38,38,4.391527980707959,51.64723932663292,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
39,39,4.4135357744271175,51.63403479338984,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
40,40,4.407696972011831,51.637060832258044,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
41,41,4.405301565892739,51.63880309706095,S2MSI2A,31UFT,51.0,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,Sentinel-2B,,,,,,,,,,,,,,,,,,,,
0,0,4.9984640061329095,51.709227274357396,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.6706192358366272,,,,,,,,,,,,,,,,,,,,,
1,1,5.004751947195526,51.70886048176731,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.5469761214014729,,,,,,,,,,,,,,,,,,,,,
2,2,4.238371701968511,51.45256415944496,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,,,,,,,,,,,,,,,,,,,,,
3,3,5.039036197275031,51.70647632993175,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.48717948717948717,,,,,,,,,,,,,,,,,,,,,
4,4,5.039485335922361,51.70647632993175,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.4616171954964176,,,,,,,,,,,,,,,,,,,,,
5,5,5.030053424328436,51.706659726226796,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.5193653756416239,,,,,,,,,,,,,,,,,,,,,
6,6,4.991277787775633,51.71014425583261,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.6152125279642058,,,,,,,,,,,,,,,,,,,,,
7,7,5.006847927549732,51.70876878361979,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.31220556745182015,,,,,,,,,,,,,,,,,,,,,
8,8,5.01687869067343,51.70766840584953,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.5125673249551167,,,,,,,,,,,,,,,,,,,,,
9,9,4.238371701968511,51.45256415944496,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,,,,,,,,,,,,,,,,,,,,,,
10,10,5.004751947195526,51.70886048176731,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.5469761214014729,,,,,,,,,,,,,,,,,,,,,
11,11,5.030053424328436,51.706659726226796,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.5193653756416239,,,,,,,,,,,,,,,,,,,,,
12,12,5.01687869067343,51.70766840584953,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.5125673249551167,,,,,,,,,,,,,,,,,,,,,
13,13,5.039036197275031,51.70647632993175,S2MSI2A,31UFT,,0.0,msi,descending,02.12,INS-NOBS,32631,0.0,Sentinel 2,"{600000.0, 5690220.0, 709800.0, 5800020.0}",10.0,4326,0.48717948717948717,,,,,,,,,,,,,,,,,,,,,
